,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600766,*ST园城,1849.91,40.8,27.3435,41.4946,0.185,101.6834,0.4534
1,000557,西部创业,520.66,185969.98,100.0,368.109,0.5364,0.1979,0.0002
2,600885,宏发股份,475.14,44.87,1.3148,46.433,0.302,103.4676,0.6729
3,000757,浩物股份,75.4,6.69,28.3779,24.312,0.0663,363.4026,0.9919
4,000737,南风化工,55.42,20.09,22.029,419.7969,0.7649,2089.3555,3.8074
5,000603,盛达资源,43.54,36.26,86.1809,265.1635,0.525,731.1903,1.4479
6,000921,海信家电,42.82,3.9,20.4838,594.9959,0.4394,15248.6868,11.2614
7,600340,华夏幸福,36.98,21.61,47.1885,1491.7098,1.6914,6902.4913,7.8266
8,002304,洋河股份,36.11,34.49,61.6888,4828.1243,4.4704,13996.9893,12.9601
9,600809,山西汾酒,35.87,23.67,76.0411,1243.3795,1.436,5250.9784,6.0645
10,000568,泸州老窖,35.71,36.88,64.9973,2953.8375,2.1124,8009.2547,5.7279
11,000576,甘化科工,34.33,19.1,8.685,66.5857,0.2062,348.4517,1.0792
12,603056,德邦股份,34.23,8.4,25.7664,361.8425,,4305.7235,
13,600519,贵州茅台,33.33,52.27,91.8276,10420.0592,10.0368,19931.4386,19.1984
14,000413,东旭光电,29.3,17.67,51.6214,102.2849,0.267,578.5939,1.5106
15,603786,科博达,28.09,21.7,39.8813,75.3341,,347.0955,
16,300567,精测电子,27.88,46.65,71.7184,22.5632,,48.3574,
17,000858,五粮液,26.91,36.92,69.3485,7801.8702,2.0553,21126.6034,5.5655
18,000049,德赛电池,26.38,4.13,17.2856,80.8015,0.5905,1951.9458,14.2655
19,600690,海尔智家,25.9,4.55,25.3855,2761.5622,1.0284,60627.1852,22.5788
20,600031,三一重工,25.5,14.43,33.4078,5874.4295,0.7735,40699.4676,5.3596
21,600547,山东黄金,25.2,4.68,10.1036,1835.673,1.2899,39199.4703,27.5456
22,000799,酒鬼酒,25.05,31.01,78.6491,458.5883,1.4113,1478.4083,4.5499
23,600111,北方稀土,24.47,20.44,44.181,1689.4696,0.6975,8262.2015,3.4112
